"DOY" "Depth" "TIN"
293 339.5 7.11
293 400.7 9.77
293 499.5 15.24
294 150.5 0.22
294 200.2 1.31
294 299 5.79
294 401.3 16.11
298 149.3 0.53
298 199.1 1.56
298 279.3 5.3
298 398.8 5.3
298 499 8.97
299 122.5 0.35
299 148.6 1.27
299 199.7 2.94
299 282.4 4.95
299 399.7 6.88
299 98.4 0.14
299 118.4 0.86
299 148.1 1.83
299 200.3 2.88
299 307.5 4.42
299 401.2 6.28
300 2.4 0.06
300 81.2 0.19
300 98.6 0.86
300 119.2 1.48
300 150.3 2.07
300 200.2 2.75
300 251.2 3.54
300 394.5 6.22
300 499.6 10.72
300 99.7 0.04
300 119.5 0.75
300 148 0.95
300 203.1 2.49
300 274.1 3.26
300 400.8 4.78
301 3 0.07
301 20.6 0.04
301 39.4 0.05
301 58.5 0.04
301 76.8 0.04
301 98.5 0.05
301 121.9 0.75
301 150.9 1.86
301 200.3 2.47
301 279.3 3.62
301 404.2 5.74
301 494.7 9.15
301 2.8 0.04
301 19.1 0.05
301 40.4 0.04
301 58.6 0.05
301 78 0.04
301 100.3 0.04
301 119.2 0.05
301 148 0.24
301 202.5 2.34
301 278.5 4.67
301 400.1 7.39
302 2.6 0.05
302 19.5 0.04
302 39.1 0.04
302 60.5 0.04
302 80.1 0.04
302 100.6 0.04
302 120.2 0.06
302 150.2 0.15
302 199.7 0.68
302 309.9 4.31
302 399.7 6.34
302 2.6 0.04
302 20.8 0.05
302 39.9 0.04
302 59.5 0.04
302 79.2 0.04
302 98 0.04
302 120.1 0.32
302 149.8 0.17
302 200.8 1.17
302 299.7 6.52
302 400.7 10.56
302 499.4 14.38
302 2.7 0.04
302 19.2 0.05
302 39.9 0.03
302 59.4 0.04
302 81.4 0.04
302 101.1 0.04
302 119.8 0.04
302 149.1 0.35
302 199.3 2.61
302 294.4 4.93
302 400.3 8.03
302 499.7 10.92
303 2.5 0.04
303 20.8 0.04
303 39.9 0.04
303 60 0.04
